"date","borough","ridership"
2025-01-10,"Bronx",39845
2025-01-10,"Brooklyn",91596
2025-01-10,"Manhattan",114278
2025-01-10,"Queens",77956
2025-01-13,"Bronx",40956
2025-01-13,"Brooklyn",99135
2025-01-13,"Manhattan",121634
2025-01-13,"Queens",81739
2025-01-14,"Bronx",42566
2025-01-14,"Brooklyn",105008
2025-01-14,"Manhattan",127072
2025-01-14,"Queens",85489
2025-01-15,"Bronx",43504
2025-01-15,"Brooklyn",106050
2025-01-15,"Manhattan",128443
2025-01-15,"Queens",86107
2025-01-16,"Bronx",42529
2025-01-16,"Brooklyn",102795
2025-01-16,"Manhattan",127050
2025-01-16,"Queens",84662
2025-01-17,"Bronx",40161
2025-01-17,"Brooklyn",92898
2025-01-17,"Manhattan",115078
2025-01-17,"Queens",77986
2025-01-20,"Bronx",23320
2025-01-20,"Brooklyn",53622
2025-01-20,"Manhattan",66741
2025-01-20,"Queens",49616
2025-01-21,"Bronx",40420
2025-01-21,"Brooklyn",98326
2025-01-21,"Manhattan",121041
2025-01-21,"Queens",79471
2025-01-22,"Bronx",41168
2025-01-22,"Brooklyn",100463
2025-01-22,"Manhattan",122791
2025-01-22,"Queens",81487
2025-01-23,"Bronx",42097
2025-01-23,"Brooklyn",101447
2025-01-23,"Manhattan",125352
2025-01-23,"Queens",83908
2025-01-24,"Bronx",39917
2025-01-24,"Brooklyn",92178
2025-01-24,"Manhattan",115275
2025-01-24,"Queens",78134
2025-01-27,"Bronx",43110
2025-01-27,"Brooklyn",101014
2025-01-27,"Manhattan",124577
2025-01-27,"Queens",82830
2025-01-28,"Bronx",45836
2025-01-28,"Brooklyn",105781
2025-01-28,"Manhattan",130536
2025-01-28,"Queens",86452
2025-01-29,"Bronx",42173
2025-01-29,"Brooklyn",96215
2025-01-29,"Manhattan",122564
2025-01-29,"Queens",79711
2025-01-30,"Bronx",46207
2025-01-30,"Brooklyn",104657
2025-01-30,"Manhattan",130851
2025-01-30,"Queens",86986
2025-01-31,"Bronx",41872
2025-01-31,"Brooklyn",92849
2025-01-31,"Manhattan",115091
2025-01-31,"Queens",78670
2025-02-03,"Bronx",42715
2025-02-03,"Brooklyn",100895
2025-02-03,"Manhattan",123656
2025-02-03,"Queens",82617
2025-02-04,"Bronx",46920
2025-02-04,"Brooklyn",109134
2025-02-04,"Manhattan",132683
2025-02-04,"Queens",88922
2025-02-05,"Bronx",47191
2025-02-05,"Brooklyn",108978
2025-02-05,"Manhattan",133651
2025-02-05,"Queens",88456
2025-02-06,"Bronx",43211
2025-02-06,"Brooklyn",100447
2025-02-06,"Manhattan",124071
